catalog_no,product_name,cas,formula,molecular_weight,purity,category_l1,category_l2,product_class_id,synonyms,smiles,storage,research_goal,application,method,protocol,pmid_doi,vendor_evidence,confidence,overview,faq,seo_meta
SC8001,5‑Propargylamino‑CTP,150718-26-6,C12H19N4O14P3,536.01,≥ 95% (HPLC),nucleotides_nucleosides,,10,"[""5-Propargylamino-cytidine-5'-triphosphate"", ' 5PropargylaminoCTP']",C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N)C#CCN,-20°C,,,,,,,,,,
SC8002,5‑Propargylamino‑dCTP,115899-39-3,C12H19N4O13P3,520.22,≥ 95% (HPLC),nucleotides_nucleosides,,21,"['5(Propargylamino)-2′deoxycytidine5′triphosphate', ' 5-PA-dCTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)C#CCN)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8003,5‑Propargylamino‑CTP-Cy3,,C43H55N6O21P3S2,1148.98,≥ 95% (HPLC),nucleotides_nucleosides,,10,"['Cy3-5-Propargylamino-cytidine-5′-triphosphate', ' 5PropargylaminoCTP', ' Cy3-5-PA-CTP']",,-20°C,,,,,,,,,,
SC8004,5‑Propargylamino‑dCTP-Cy3,,C43H55N6O20P3S2,1132.97,≥ 95% (HPLC),nucleotides_nucleosides,,21,"['Cyanine 3-5(Propargylamino)-2′deoxycytidine5′triphosphate', ' Cy3-5-PA-dCTP']",,-20°C,,,,,,,,,,
SC8005,5‑Propargylamino‑CTP-Cy5,,C45H57N6O21P3S2,1175.01,≥ 95% (HPLC),nucleotides_nucleosides,,10,"['Cy5-5-Propargylamino-cytidine-5′-triphosphate', ' 5PropargylaminoCTP', ' Cy5-5-PA-CTP']",,-20°C,,,,,,,,,,
SC8006,5‑Propargylamino‑dCTP-Cy5,,C45H57N6O20P3S2,1159.01,≥ 95% (HPLC),nucleotides_nucleosides,,21,"['Cyanine 5-5(Propargylamino)-2′deoxycytidine5′triphosphate', ' Cy5-5-PA-dCTP']",,-20°C,,,,,,,,,,
SC8007,Fluorescein-12-UTP,134367-01-4,C39H41N4O22P3,1010.7,≥ 90% (HPLC),nucleotides_nucleosides,,23,"[""Fluorescein-12-uridine-5'-Triphosphate""]",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,-20°C,,,,,,,,,,
SC8008,5-Formyl-UTP,,C10H15N2O16P3,512.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Formyluridine-5'-Triphosphate"", ' 5-FoUTP']",,-20°C,,,,,,,,,,
SC8010,Desthiobiotin-11-UTP,,C28H47N6O18P3,848.6,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""Desthiobiotin-11-Aminoallyl-Uridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8011,Pseudo-UTP,1175-34-4,C9H15N2O15P3,484.1,≥ 95% (HPLC),nucleotides_nucleosides,,10,['Pseudouridine-5´-Triphosphate'],C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8012,N1-Methylpseudo-UTP,1428903-59-6,C10H17N2O15P3,498.2,≥ 95% (HPLC),nucleotides_nucleosides,,10,"['N1-Methylpseudouridine-5′-triphosphate', ' m1ΨTP']",CN1C=C(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8013,5-Methoxy-UTP,847649-65-4,C₁₀H₁₇N₂O₁₆P₃,514.1,≥ 95% (HPLC),nucleotides_nucleosides,,10,"[""5-Methoxyuridine-5'-Triphosphate"", ' 5-moUTP']",COC1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8014,Biotin-11-UTP,,C28H45N6O18P3S,878.7,≥ 95% (HPLC),nucleotides_nucleosides,,10,"[""Biotin-11-uridine-5'-triphosphate.""]",,-20°C,,,,,,,,,,
SC8015,Biotin-16-UTP,86303-26-6,C32H52N7O19P3S,963.8,≥ 95% (HPLC),nucleotides_nucleosides,,10,"[""Biotin-16-uridine-5'-triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)/C=C/CNC(=O)CCCCCNC(=O)CCCNC(=O)CCCC[C@H]3[C@@H]4[C@H](CS3)NC(=O)N4)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
