Catalog No,Product Name,CAS,Formula,MW,Purity,Storage,Research Goal（研究方向）,Application（实验场景）,Method（技术方法）,Protocol Name（方案名称）,Protocol Steps（方案步骤）,Protocol Materials（所需材料）,Protocol Time（预计时间）,Protocol Difficulty（难度）,Reference PMID（参考文献PMID）,Reference DOI（参考文献DOI）,Key Advantages（主要优势）,Key Limitations（主要局限）,Confidence（确定程度：高/中/低）
SC8001,5‑Propargylamino‑CTP,150718-26-6,C12H19N4O14P3,536.01,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8002,5‑Propargylamino‑dCTP,115899-39-3,C12H19N4O13P3,520.22,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8003,5‑Propargylamino‑CTP-Cy3,,C43H55N6O21P3S2,1148.98,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8004,5‑Propargylamino‑dCTP-Cy3,,C43H55N6O20P3S2,1132.97,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8005,5‑Propargylamino‑CTP-Cy5,,C45H57N6O21P3S2,1175.01,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8006,5‑Propargylamino‑dCTP-Cy5,,C45H57N6O20P3S2,1159.01,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8007,Fluorescein-12-UTP,134367-01-4,C39H41N4O22P3,1010.7,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8008,5-Formyl-UTP,,C10H15N2O16P3,512.2,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8010,Desthiobiotin-11-UTP,,C28H47N6O18P3,848.6,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8011,Pseudo-UTP,1175-34-4,C9H15N2O15P3,484.1,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8012,N1-Methylpseudo-UTP,1428903-59-6,C10H17N2O15P3,498.2,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8013,5-Methoxy-UTP,847649-65-4,C₁₀H₁₇N₂O₁₆P₃,514.1,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8014,Biotin-11-UTP,,C28H45N6O18P3S,878.7,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8015,Biotin-16-UTP,86303-26-6,C32H52N7O19P3S,963.8,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8016,Biotin-11-dUTP,86303-25-5,C28H45N6O17P3S,862.7,≥ 95% (HPLC),-20°C,,,,,,,,,,,,,
SC8017,Biotin-16-dUTP,136632-31-0,C32H52N7O18P3S,947.8,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8018,Cy3-dUTP,,C43H56N5O21P3S2,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8019,Cy5-dUTP,,C45H55N5O21P3S2,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8020,Sulfo-Cy5 dUTP,,C50H61Li4N6O22P3S2,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8021,5‑Propargylamino‑dUTP,179101-49-6,C12H18N3O14P3,521.2,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8022,5-Propynyl-dUTP,,C12H17N2O14P3,506.2,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8023,5-Iodo-dUTP,3731-55-3,C9H14N2O14P3I,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8024,5-Formyl-dUTP,,C₁₀H₁₅N₂O₁₅P₃,496.1,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8025,Cy3-UTP,,C43H56N5O22P3S2,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
SC8026,Cy5-UTP,,C45H58N5O22P3S2,,≥ 90% (HPLC),-20°C,,,,,,,,,,,,,
